N,X,Y,Z
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,0,0,2
turn 2,6,1,2
turn 3,6,1,0
turn 4,1,2,0
turn 5,1,3,1
turn 6,1,4,2
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,-1,0,4
turn 2,5,0,5
turn 3,6,0,2
turn 4,3,0,1
turn 5,3,0,1
turn 6,3,0,1
turn 7,3,0,1
turn 8,3,0,1
turn 9,3,0,1
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,-1,0,4
turn 2,1,0,5
turn 3,2,0,2
turn 4,0,0,1
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,0,0,2
turn 2,3,0,4
turn 3,4,0,0
turn 4,1,0,0
turn 5,0,0,5
turn 6,4,0,7
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,-1,0,0
turn 2,0,0,1
turn 3,1,0,0
turn 4,0,0,-1
turn 5,-1,0,8
turn 6,0,0,9
turn 7,1,0,7
turn 8,0,0,6
turn 9,-1,0,8
turn 10,0,0,9
turn 11,1,0,7
turn 12,0,0,6
turn 13,-1,0,8
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,0,0,1
turn 2,1,0,1
turn 3,1,0,0
turn 4,0,0,0
turn 5,0,0,0
turn 6,0,0,0
turn 7,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,0,0,2
turn 2,2,0,2
turn 3,2,0,0
turn 4,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
